43
(1,20,102)
(2,20,89)
(3,48,100)
(4,52,82)
(5,35,60)
(6,50,57)
(7,47,44)
(8,80,48)
(9,95,55)
(10,81,74)
(11,82,113)
(12,107,87)
(13,130,117)
(14,145,102)
(15,140,80)
(16,131,64)
(17,125,50)
(18,138,40)
(19,148,43)
(20,154,33)
(21,159,23)
(22,165,26)
(23,162,30)
(24,166,39)
(25,162,56)
(26,165,76)
(27,162,98)
(28,161,106)
(29,160,127)
(30,192,124)
(31,220,118)
(32,195,98)
(33,234,91)
(34,221,78)
(35,213,76)
(36,188,67)
(37,176,72)
(38,178,53)
(39,180,36)
(40,189,41)
(41,197,47)
(42,212,41)
(43,238,60)
